Time,CH A,CH B,
7.37869E-3,1.35813E-1,-1.11625E-2,
7.4037E-3,1.19813E-1,-1.51625E-2,
7.42871E-3,1.43813E-1,-1.11625E-2,
7.45373E-3,1.27813E-1,-1.59625E-2,
7.47874E-3,1.43813E-1,-1.11625E-2,
7.50375E-3,1.31813E-1,-1.59625E-2,
7.52876E-3,1.47813E-1,-1.11625E-2,
7.55378E-3,1.35813E-1,-1.59625E-2,
7.57879E-3,1.51813E-1,-1.11625E-2,
7.6038E-3,1.31813E-1,-1.67625E-2,
7.62881E-3,1.51813E-1,-1.11625E-2,
7.65383E-3,1.35813E-1,-1.59625E-2,
7.67884E-3,1.51813E-1,-1.19625E-2,
7.70385E-3,1.39813E-1,-1.59625E-2,
7.72886E-3,1.55813E-1,-1.19625E-2,
7.75388E-3,1.39813E-1,-1.67625E-2,
7.77889E-3,1.59813E-1,-1.19625E-2,
7.8039E-3,1.47813E-1,-1.59625E-2,
7.82891E-3,1.63813E-1,-1.19625E-2,
7.85393E-3,1.51813E-1,-1.75625E-2,
7.87894E-3,1.67813E-1,-1.19625E-2,
7.90395E-3,1.51813E-1,-1.67625E-2,
7.92896E-3,1.67813E-1,-1.19625E-2,
7.95398E-3,1.55813E-1,-1.67625E-2,
7.97899E-3,1.71813E-1,-1.11625E-2,
8.004E-3,1.55813E-1,-1.67625E-2,
8.02901E-3,1.71813E-1,-1.19625E-2,
8.05403E-3,1.55813E-1,-1.67625E-2,
8.07904E-3,1.71813E-1,-1.19625E-2,
8.10405E-3,1.51813E-1,-1.67625E-2,
8.12906E-3,1.71813E-1,-1.27625E-2,
8.15408E-3,1.55813E-1,-1.67625E-2,
8.17909E-3,1.71813E-1,-1.19625E-2,
8.2041E-3,1.51813E-1,-1.75625E-2,
8.22911E-3,1.67813E-1,-1.19625E-2,
8.25413E-3,1.55813E-1,-1.67625E-2,
8.27914E-3,1.71813E-1,-1.27625E-2,
8.30415E-3,1.47813E-1,-1.67625E-2,
8.32916E-3,1.67813E-1,-1.19625E-2,
8.35418E-3,1.51813E-1,-1.67625E-2,
8.37919E-3,1.71813E-1,-1.19625E-2,
8.4042E-3,1.59813E-1,-1.67625E-2,
8.42921E-3,1.75813E-1,-1.27625E-2,
8.45423E-3,1.63813E-1,-1.75625E-2,
8.47924E-3,1.79813E-1,-1.27625E-2,
8.50425E-3,1.63813E-1,-1.67625E-2,
8.52926E-3,1.83813E-1,-1.11625E-2,
8.55428E-3,1.63813E-1,-1.67625E-2,
8.57929E-3,1.79813E-1,-1.27625E-2,
8.6043E-3,1.63813E-1,-1.67625E-2,
8.62931E-3,1.83813E-1,-1.27625E-2,
8.65433E-3,1.67813E-1,-1.67625E-2,
8.67934E-3,1.83813E-1,-1.27625E-2,
